store_id,store_name,store_type,region,province,size_sqm,open_date,store_taxonomies
STR-001,ร้าน นนทบุรี สาขา 1,convenience,กรุงเทพฯ,ภูเก็ต,1062,2017-03-27,กรุงเทพฯ > convenience > 1062sqm
STR-002,ร้าน นครราชสีมา สาขา 2,convenience,ภาคใต้,สุราษฎร์ธานี,674,2017-09-04,ภาคใต้ > convenience > 674sqm
STR-003,ร้าน ปากเกร็ด สาขา 3,supermarket,ภาคตะวันออกเฉียงเหนือ,สุราษฎร์ธานี,2792,2016-04-13,ภาคตะวันออกเฉียงเหนือ > supermarket > 2792sqm
STR-004,ร้าน นครสวรรค์ สาขา 4,supermarket,ภาคตะวันออกเฉียงเหนือ,แหลมฉบัง,2915,2017-11-15,ภาคตะวันออกเฉียงเหนือ > supermarket > 2915sqm
STR-005,ร้าน นครสวรรค์ สาขา 5,minimart,ภาคกลาง,อุบลราชธานี,2531,2021-10-23,ภาคกลาง > minimart > 2531sqm
STR-006,ร้าน ขอนแก่น สาขา 6,convenience,ภาคกลาง,พิษณุโลก,1324,2016-03-18,ภาคกลาง > convenience > 1324sqm
STR-007,ร้าน พัทยา สาขา 7,convenience,ภาคเหนือ,พิษณุโลก,2408,2022-08-06,ภาคเหนือ > convenience > 2408sqm
STR-008,ร้าน สุราษฎร์ธานี สาขา 8,hypermarket,ภาคตะวันออกเฉียงเหนือ,อุดรธานี,2978,2017-03-23,ภาคตะวันออกเฉียงเหนือ > hypermarket > 2978sqm
STR-009,ร้าน ระยอง สาขา 9,convenience,ภาคใต้,ปากเกร็ด,2878,2022-01-13,ภาคใต้ > convenience > 2878sqm
STR-010,ร้าน เชียงใหม่ สาขา 10,supermarket,กรุงเทพฯ,สุราษฎร์ธานี,2905,2023-08-31,กรุงเทพฯ > supermarket > 2905sqm
