promotion_id,promotion_type,discount,product_id,start_date,end_date
PRM-001,percentage_off,20,PRD-0039,2024-03-16,2024-04-30
PRM-001,percentage_off,20,PRD-0015,2024-03-16,2024-04-30
PRM-001,percentage_off,20,PRD-0078,2024-03-16,2024-04-30
PRM-002,clearance,60,PRD-0004,2025-01-19,2025-02-14
PRM-002,clearance,60,PRD-0041,2025-01-19,2025-02-14
PRM-002,clearance,60,PRD-0063,2025-01-19,2025-02-14
PRM-003,buy_x_get_y,20,PRD-0058,2024-08-08,2024-09-11
PRM-003,buy_x_get_y,20,PRD-0076,2024-08-08,2024-09-11
PRM-004,buy_x_get_y,33,PRD-0003,2025-02-09,2025-03-03
PRM-004,buy_x_get_y,33,PRD-0030,2025-02-09,2025-03-03
PRM-005,clearance,50,PRD-0092,2025-05-13,2025-06-14
PRM-005,clearance,50,PRD-0060,2025-05-13,2025-06-14
PRM-005,clearance,50,PRD-0048,2025-05-13,2025-06-14
PRM-005,clearance,50,PRD-0027,2025-05-13,2025-06-14
PRM-006,clearance,40,PRD-0019,2025-03-01,2025-03-11
PRM-006,clearance,40,PRD-0082,2025-03-01,2025-03-11
PRM-007,percentage_off,25,PRD-0060,2025-01-18,2025-01-28
PRM-007,percentage_off,25,PRD-0050,2025-01-18,2025-01-28
PRM-007,percentage_off,25,PRD-0084,2025-01-18,2025-01-28
PRM-008,clearance,30,PRD-0066,2025-09-04,2025-09-29
PRM-008,clearance,30,PRD-0071,2025-09-04,2025-09-29
PRM-008,clearance,30,PRD-0062,2025-09-04,2025-09-29
PRM-009,percentage_off,50,PRD-0025,2024-03-10,2024-04-08
PRM-009,percentage_off,50,PRD-0040,2024-03-10,2024-04-08
PRM-009,percentage_off,50,PRD-0065,2024-03-10,2024-04-08
PRM-010,buy_x_get_y,20,PRD-0035,2024-04-13,2024-04-29
PRM-010,buy_x_get_y,20,PRD-0008,2024-04-13,2024-04-29
PRM-010,buy_x_get_y,20,PRD-0004,2024-04-13,2024-04-29
PRM-010,buy_x_get_y,20,PRD-0066,2024-04-13,2024-04-29
PRM-010,buy_x_get_y,20,PRD-0028,2024-04-13,2024-04-29
PRM-011,bundle,10,PRD-0079,2025-04-04,2025-05-06
PRM-011,bundle,10,PRD-0059,2025-04-04,2025-05-06
PRM-011,bundle,10,PRD-0045,2025-04-04,2025-05-06
PRM-012,bundle,20,PRD-0075,2025-01-11,2025-01-21
PRM-012,bundle,20,PRD-0016,2025-01-11,2025-01-21
PRM-012,bundle,20,PRD-0057,2025-01-11,2025-01-21
PRM-012,bundle,20,PRD-0098,2025-01-11,2025-01-21
PRM-012,bundle,20,PRD-0063,2025-01-11,2025-01-21
PRM-013,clearance,70,PRD-0094,2024-02-07,2024-03-27
PRM-013,clearance,70,PRD-0096,2024-02-07,2024-03-27
PRM-013,clearance,70,PRD-0073,2024-02-07,2024-03-27
PRM-013,clearance,70,PRD-0065,2024-02-07,2024-03-27
PRM-013,clearance,70,PRD-0009,2024-02-07,2024-03-27
PRM-014,buy_x_get_y,50,PRD-0094,2024-12-04,2025-01-22
PRM-014,buy_x_get_y,50,PRD-0093,2024-12-04,2025-01-22
PRM-014,buy_x_get_y,50,PRD-0082,2024-12-04,2025-01-22
PRM-014,buy_x_get_y,50,PRD-0035,2024-12-04,2025-01-22
PRM-015,buy_x_get_y,25,PRD-0050,2024-07-20,2024-08-01
PRM-015,buy_x_get_y,25,PRD-0036,2024-07-20,2024-08-01
PRM-015,buy_x_get_y,25,PRD-0051,2024-07-20,2024-08-01
PRM-015,buy_x_get_y,25,PRD-0029,2024-07-20,2024-08-01
PRM-015,buy_x_get_y,25,PRD-0006,2024-07-20,2024-08-01
PRM-016,percentage_off,25,PRD-0054,2024-01-13,2024-01-28
PRM-016,percentage_off,25,PRD-0073,2024-01-13,2024-01-28
PRM-017,buy_x_get_y,50,PRD-0073,2024-06-04,2024-07-08
PRM-017,buy_x_get_y,50,PRD-0033,2024-06-04,2024-07-08
PRM-017,buy_x_get_y,50,PRD-0027,2024-06-04,2024-07-08
PRM-017,buy_x_get_y,50,PRD-0001,2024-06-04,2024-07-08
PRM-017,buy_x_get_y,50,PRD-0009,2024-06-04,2024-07-08
PRM-018,buy_x_get_y,20,PRD-0009,2024-09-28,2024-11-20
PRM-018,buy_x_get_y,20,PRD-0029,2024-09-28,2024-11-20
PRM-018,buy_x_get_y,20,PRD-0060,2024-09-28,2024-11-20
PRM-018,buy_x_get_y,20,PRD-0022,2024-09-28,2024-11-20
PRM-019,clearance,30,PRD-0044,2024-03-22,2024-05-10
PRM-019,clearance,30,PRD-0079,2024-03-22,2024-05-10
PRM-019,clearance,30,PRD-0094,2024-03-22,2024-05-10
PRM-019,clearance,30,PRD-0048,2024-03-22,2024-05-10
PRM-020,clearance,50,PRD-0095,2025-08-13,2025-09-24
PRM-020,clearance,50,PRD-0043,2025-08-13,2025-09-24
PRM-020,clearance,50,PRD-0081,2025-08-13,2025-09-24
PRM-020,clearance,50,PRD-0086,2025-08-13,2025-09-24
PRM-020,clearance,50,PRD-0042,2025-08-13,2025-09-24
PRM-021,buy_x_get_y,33,PRD-0029,2025-08-31,2025-10-26
PRM-021,buy_x_get_y,33,PRD-0003,2025-08-31,2025-10-26
PRM-022,clearance,60,PRD-0039,2024-10-05,2024-11-02
PRM-022,clearance,60,PRD-0064,2024-10-05,2024-11-02
PRM-022,clearance,60,PRD-0093,2024-10-05,2024-11-02
PRM-022,clearance,60,PRD-0052,2024-10-05,2024-11-02
PRM-022,clearance,60,PRD-0007,2024-10-05,2024-11-02
PRM-023,bundle,20,PRD-0072,2024-04-19,2024-06-17
PRM-023,bundle,20,PRD-0029,2024-04-19,2024-06-17
PRM-024,buy_x_get_y,25,PRD-0090,2025-04-20,2025-05-06
PRM-025,bundle,25,PRD-0043,2025-02-13,2025-03-18
PRM-025,bundle,25,PRD-0039,2025-02-13,2025-03-18
PRM-025,bundle,25,PRD-0011,2025-02-13,2025-03-18
PRM-025,bundle,25,PRD-0032,2025-02-13,2025-03-18
PRM-025,bundle,25,PRD-0021,2025-02-13,2025-03-18
PRM-026,clearance,30,PRD-0052,2024-11-17,2024-11-27
PRM-026,clearance,30,PRD-0056,2024-11-17,2024-11-27
PRM-026,clearance,30,PRD-0020,2024-11-17,2024-11-27
PRM-026,clearance,30,PRD-0054,2024-11-17,2024-11-27
PRM-027,clearance,30,PRD-0040,2024-12-07,2025-01-06
PRM-028,buy_x_get_y,50,PRD-0028,2025-05-18,2025-06-19
PRM-028,buy_x_get_y,50,PRD-0052,2025-05-18,2025-06-19
PRM-028,buy_x_get_y,50,PRD-0056,2025-05-18,2025-06-19
PRM-028,buy_x_get_y,50,PRD-0031,2025-05-18,2025-06-19
PRM-028,buy_x_get_y,50,PRD-0037,2025-05-18,2025-06-19
PRM-029,buy_x_get_y,25,PRD-0042,2024-12-10,2024-12-27
PRM-029,buy_x_get_y,25,PRD-0076,2024-12-10,2024-12-27
PRM-029,buy_x_get_y,25,PRD-0049,2024-12-10,2024-12-27
PRM-029,buy_x_get_y,25,PRD-0011,2024-12-10,2024-12-27
PRM-029,buy_x_get_y,25,PRD-0013,2024-12-10,2024-12-27
PRM-030,percentage_off,10,PRD-0055,2024-01-09,2024-01-25
PRM-030,percentage_off,10,PRD-0064,2024-01-09,2024-01-25
PRM-030,percentage_off,10,PRD-0012,2024-01-09,2024-01-25
PRM-030,percentage_off,10,PRD-0090,2024-01-09,2024-01-25
PRM-030,percentage_off,10,PRD-0083,2024-01-09,2024-01-25
PRM-031,buy_x_get_y,20,PRD-0005,2024-01-03,2024-02-09
PRM-031,buy_x_get_y,20,PRD-0018,2024-01-03,2024-02-09
PRM-032,bundle,20,PRD-0012,2024-12-31,2025-02-18
PRM-032,bundle,20,PRD-0006,2024-12-31,2025-02-18
PRM-032,bundle,20,PRD-0022,2024-12-31,2025-02-18
PRM-032,bundle,20,PRD-0040,2024-12-31,2025-02-18
PRM-032,bundle,20,PRD-0043,2024-12-31,2025-02-18
PRM-033,percentage_off,5,PRD-0079,2025-08-19,2025-08-31
PRM-034,percentage_off,20,PRD-0014,2024-06-23,2024-07-25
PRM-034,percentage_off,20,PRD-0035,2024-06-23,2024-07-25
PRM-034,percentage_off,20,PRD-0076,2024-06-23,2024-07-25
PRM-034,percentage_off,20,PRD-0038,2024-06-23,2024-07-25
PRM-035,percentage_off,25,PRD-0078,2024-05-21,2024-06-01
PRM-035,percentage_off,25,PRD-0034,2024-05-21,2024-06-01
PRM-035,percentage_off,25,PRD-0021,2024-05-21,2024-06-01
PRM-035,percentage_off,25,PRD-0083,2024-05-21,2024-06-01
PRM-036,percentage_off,50,PRD-0005,2025-09-13,2025-10-04
PRM-036,percentage_off,50,PRD-0051,2025-09-13,2025-10-04
PRM-036,percentage_off,50,PRD-0044,2025-09-13,2025-10-04
PRM-037,buy_x_get_y,50,PRD-0040,2025-04-08,2025-05-07
PRM-037,buy_x_get_y,50,PRD-0038,2025-04-08,2025-05-07
PRM-037,buy_x_get_y,50,PRD-0084,2025-04-08,2025-05-07
PRM-037,buy_x_get_y,50,PRD-0091,2025-04-08,2025-05-07
PRM-037,buy_x_get_y,50,PRD-0052,2025-04-08,2025-05-07
PRM-038,clearance,40,PRD-0027,2024-11-12,2024-12-31
PRM-038,clearance,40,PRD-0031,2024-11-12,2024-12-31
PRM-038,clearance,40,PRD-0060,2024-11-12,2024-12-31
PRM-039,buy_x_get_y,25,PRD-0076,2024-02-07,2024-02-19
PRM-040,percentage_off,15,PRD-0020,2024-04-20,2024-05-25
PRM-040,percentage_off,15,PRD-0093,2024-04-20,2024-05-25
PRM-041,percentage_off,25,PRD-0075,2024-12-06,2025-01-26
PRM-041,percentage_off,25,PRD-0031,2024-12-06,2025-01-26
PRM-041,percentage_off,25,PRD-0092,2024-12-06,2025-01-26
