po_id,warehouse_id,product_id,po_price_total,po_price_per_unit,unit,manufacturing_date,po_date,arrival_date,expire_date,qty
PO-00001,WH-03,PRD-0037,150279.57,113.59,ชิ้น,2024-05-10,2024-05-14,2024-05-30,2025-02-11,1323
PO-00002,WH-03,PRD-0006,39865.4,42.41,ชิ้น,2024-01-16,2024-01-17,2024-01-18,2024-01-28,940
PO-00003,WH-02,PRD-0085,273970.72,146.98,ชิ้น,2024-02-28,2024-03-05,2024-03-16,2025-08-24,1864
PO-00004,WH-02,PRD-0012,354167.76,231.18,ชิ้น,2023-12-04,2023-12-08,2023-12-21,2025-12-26,1532
PO-00005,WH-01,PRD-0073,42267.4,79.45,ชิ้น,2025-01-13,2025-01-16,2025-02-02,2025-12-28,532
PO-00006,WH-02,PRD-0030,49198.24,61.04,ชิ้น,2024-06-06,2024-06-09,2024-06-15,2025-04-27,806
PO-00007,WH-02,PRD-0074,68044.08,44.07,ชิ้น,2024-01-11,2024-01-17,2024-02-02,2024-07-26,1544
PO-00008,WH-02,PRD-0007,20467.75,43.09,ชิ้น,2025-03-17,2025-03-22,2025-04-03,2025-10-26,475
PO-00009,WH-03,PRD-0003,337546.08,205.32,ชิ้น,2025-05-23,2025-05-24,2025-05-26,2025-05-29,1644
PO-00010,WH-01,PRD-0009,25426.96,42.52,ชิ้น,2023-12-02,2023-12-03,2023-12-16,2026-05-13,598
PO-00011,WH-03,PRD-0033,12144.8,39.95,ชิ้น,2023-12-02,2023-12-07,2023-12-08,2026-07-08,304
PO-00012,WH-03,PRD-0034,263096.13,169.63,ชิ้น,2024-05-14,2024-05-16,2024-06-03,2025-11-24,1551
PO-00013,WH-02,PRD-0061,548265.64,295.88,ชิ้น,2025-05-13,2025-05-14,2025-05-15,2025-05-16,1853
PO-00014,WH-01,PRD-0092,136213.56,120.33,ชิ้น,2023-12-27,2023-12-30,2024-01-07,2025-12-21,1132
PO-00015,WH-03,PRD-0020,46765.44,254.16,ชิ้น,2024-06-23,2024-06-28,2024-07-08,2025-10-18,184
PO-00016,WH-01,PRD-0093,59902.44,53.58,ชิ้น,2024-11-08,2024-11-14,2024-11-24,2025-10-12,1118
PO-00017,WH-02,PRD-0053,26501.64,70.86,ชิ้น,2024-07-03,2024-07-10,2024-07-15,2025-11-17,374
PO-00018,WH-03,PRD-0048,99851.75,65.05,ชิ้น,2024-03-21,2024-03-23,2024-03-27,2025-11-20,1535
PO-00019,WH-02,PRD-0040,15525.96,71.22,ชิ้น,2024-01-12,2024-01-19,2024-02-01,2024-06-10,218
PO-00020,WH-03,PRD-0038,80729.6,95.2,ชิ้น,2024-12-20,2024-12-23,2025-01-02,2025-10-27,848
PO-00021,WH-01,PRD-0006,40757.5,46.58,ชิ้น,2025-12-09,2025-12-12,2025-12-18,2025-12-21,875
PO-00022,WH-03,PRD-0070,27354.24,63.32,ชิ้น,2023-12-25,2023-12-31,2024-01-03,2024-07-02,432
PO-00023,WH-02,PRD-0061,173168.8,254.66,ชิ้น,2024-09-13,2024-09-14,2024-09-15,2024-09-16,680
PO-00024,WH-01,PRD-0099,119892.3,77.55,ชิ้น,2024-04-03,2024-04-08,2024-04-25,2025-02-03,1546
PO-00025,WH-01,PRD-0067,16835.0,9.62,ชิ้น,2024-11-05,2024-11-11,2024-11-16,2025-05-22,1750
PO-00026,WH-03,PRD-0060,349372.9,199.3,ชิ้น,2024-05-24,2024-05-25,2024-06-04,2025-10-01,1753
PO-00027,WH-03,PRD-0088,19904.73,119.19,ชิ้น,2024-02-14,2024-02-16,2024-02-23,2025-10-11,167
PO-00028,WH-01,PRD-0028,304519.04,188.44,ชิ้น,2023-12-02,2023-12-04,2023-12-21,2026-12-01,1616
PO-00029,WH-03,PRD-0033,27709.65,39.87,ชิ้น,2023-12-02,2023-12-03,2023-12-16,2026-07-08,695
PO-00030,WH-01,PRD-0094,75721.98,44.49,ชิ้น,2024-01-23,2024-01-24,2024-01-28,2025-05-25,1702
PO-00031,WH-03,PRD-0092,113884.29,116.09,ชิ้น,2023-12-09,2023-12-14,2023-12-16,2025-12-03,981
PO-00032,WH-01,PRD-0078,30169.08,55.56,ชิ้น,2024-10-20,2024-10-26,2024-11-02,2025-07-19,543
PO-00033,WH-01,PRD-0064,59897.5,184.3,ชิ้น,2023-12-02,2023-12-05,2023-12-13,2026-01-26,325
PO-00034,WH-02,PRD-0006,66240.0,36.8,ชิ้น,2024-02-18,2024-02-19,2024-02-29,2024-03-01,1800
PO-00035,WH-03,PRD-0098,140097.1,131.3,ชิ้น,2023-12-07,2023-12-11,2023-12-15,2025-12-29,1067
PO-00036,WH-03,PRD-0060,330283.46,182.78,ชิ้น,2023-12-06,2023-12-07,2023-12-13,2025-04-14,1807
PO-00037,WH-01,PRD-0027,46785.6,27.36,ชิ้น,2023-12-08,2023-12-11,2023-12-25,2025-11-18,1710
PO-00038,WH-03,PRD-0015,16445.68,52.88,ชิ้น,2023-12-02,2023-12-07,2023-12-08,2028-06-27,311
PO-00039,WH-03,PRD-0032,34260.96,41.68,ชิ้น,2025-09-14,2025-09-18,2025-09-23,2025-09-27,822
PO-00040,WH-02,PRD-0094,99172.6,57.16,ชิ้น,2024-02-01,2024-02-07,2024-02-21,2025-06-03,1735
PO-00041,WH-03,PRD-0001,76584.62,53.11,ชิ้น,2023-12-02,2023-12-05,2023-12-25,2026-09-12,1442
PO-00042,WH-01,PRD-0045,33346.96,17.89,ชิ้น,2023-12-21,2023-12-26,2023-12-29,2025-11-19,1864
PO-00043,WH-03,PRD-0016,65259.18,48.02,ชิ้น,2024-04-26,2024-04-27,2024-05-15,2025-04-20,1359
PO-00044,WH-01,PRD-0038,53837.62,102.94,ชิ้น,2024-08-02,2024-08-05,2024-08-06,2025-06-09,523
PO-00045,WH-01,PRD-0076,76799.97,48.03,ชิ้น,2023-12-08,2023-12-10,2023-12-16,2025-12-07,1599
PO-00046,WH-03,PRD-0028,220375.8,171.9,ชิ้น,2023-12-02,2023-12-03,2023-12-11,2026-12-01,1282
PO-00047,WH-02,PRD-0058,34709.76,47.16,ชิ้น,2023-12-02,2023-12-03,2023-12-06,2028-04-24,736
PO-00048,WH-01,PRD-0033,56586.86,38.39,ชิ้น,2023-12-02,2023-12-08,2023-12-18,2026-07-08,1474
PO-00049,WH-03,PRD-0017,36692.53,31.99,ชิ้น,2023-12-02,2023-12-08,2023-12-10,2026-09-10,1147
PO-00050,WH-03,PRD-0047,3205.71,34.47,ชิ้น,2023-12-02,2023-12-05,2023-12-13,2026-07-02,93
PO-00051,WH-02,PRD-0064,172468.35,186.05,ชิ้น,2023-12-02,2023-12-09,2023-12-11,2026-01-26,927
PO-00052,WH-03,PRD-0067,1825.32,7.42,ชิ้น,2024-04-11,2024-04-15,2024-04-16,2024-10-26,246
PO-00053,WH-01,PRD-0006,90577.2,49.2,ชิ้น,2025-05-17,2025-05-19,2025-05-25,2025-05-29,1841
PO-00054,WH-02,PRD-0050,387534.64,208.24,ชิ้น,2023-12-29,2023-12-30,2023-12-31,2024-01-02,1861
PO-00055,WH-02,PRD-0088,19413.9,98.05,ชิ้น,2024-01-25,2024-01-26,2024-02-01,2025-09-21,198
PO-00056,WH-01,PRD-0099,56190.6,98.58,ชิ้น,2024-06-01,2024-06-02,2024-06-16,2025-04-03,570
PO-00057,WH-03,PRD-0066,28538.75,67.15,ชิ้น,2024-03-22,2024-03-24,2024-03-28,2024-03-30,425
PO-00058,WH-03,PRD-0055,94036.61,68.69,ชิ้น,2024-02-19,2024-02-21,2024-03-09,2025-11-15,1369
PO-00059,WH-02,PRD-0034,330773.65,208.69,ชิ้น,2023-12-31,2024-01-02,2024-01-12,2025-07-12,1585
PO-00060,WH-01,PRD-0071,404613.0,241.56,ชิ้น,2024-07-18,2024-07-25,2024-08-01,2025-09-01,1675
PO-00061,WH-02,PRD-0044,74777.36,139.51,ชิ้น,2025-10-15,2025-10-18,2025-10-24,2025-10-26,536
PO-00062,WH-01,PRD-0068,30047.16,33.99,ชิ้น,2024-03-30,2024-04-05,2024-04-17,2025-01-28,884
PO-00063,WH-03,PRD-0079,5012.96,16.49,ชิ้น,2023-12-02,2023-12-08,2023-12-20,2027-10-18,304
PO-00064,WH-03,PRD-0058,62311.56,42.36,ชิ้น,2023-12-02,2023-12-09,2023-12-11,2028-04-24,1471
PO-00065,WH-02,PRD-0065,14013.72,11.62,ชิ้น,2023-12-02,2023-12-03,2023-12-13,2028-01-23,1206
PO-00066,WH-03,PRD-0037,49893.06,118.23,ชิ้น,2024-12-01,2024-12-05,2024-12-14,2025-09-04,422
PO-00067,WH-01,PRD-0075,39620.0,45.28,ชิ้น,2023-12-08,2023-12-15,2024-01-04,2025-12-30,875
PO-00068,WH-02,PRD-0074,101601.6,55.52,ชิ้น,2024-09-30,2024-10-07,2024-10-25,2025-04-15,1830
PO-00069,WH-03,PRD-0083,101997.75,63.55,ชิ้น,2023-12-02,2023-12-08,2023-12-23,2028-10-26,1605
PO-00070,WH-03,PRD-0012,134497.7,205.34,ชิ้น,2023-12-07,2023-12-12,2023-12-25,2025-12-29,655
PO-00071,WH-03,PRD-0082,67417.56,120.82,ชิ้น,2023-12-02,2023-12-07,2023-12-11,2026-10-03,558
PO-00072,WH-01,PRD-0038,173326.37,106.27,ชิ้น,2024-05-08,2024-05-13,2024-06-02,2025-03-15,1631
PO-00073,WH-01,PRD-0025,47499.28,25.36,ชิ้น,2024-06-08,2024-06-15,2024-06-23,2024-08-17,1873
PO-00074,WH-01,PRD-0038,198925.43,121.37,ชิ้น,2024-06-25,2024-06-30,2024-07-18,2025-05-02,1639
PO-00075,WH-02,PRD-0008,418423.72,316.03,ชิ้น,2025-06-25,2025-06-27,2025-06-28,2025-07-01,1324
PO-00076,WH-03,PRD-0051,24429.45,83.95,ชิ้น,2025-02-01,2025-02-02,2025-02-04,2025-02-05,291
PO-00077,WH-03,PRD-0023,23340.48,47.44,ชิ้น,2023-12-02,2023-12-08,2023-12-16,2026-10-27,492
PO-00078,WH-03,PRD-0067,3982.95,7.95,ชิ้น,2024-12-06,2024-12-12,2024-12-20,2025-06-22,501
PO-00079,WH-01,PRD-0067,13122.4,9.4,ชิ้น,2023-12-19,2023-12-26,2024-01-05,2024-07-04,1396
PO-00080,WH-02,PRD-0001,57442.32,64.98,ชิ้น,2023-12-02,2023-12-03,2023-12-08,2026-09-12,884
PO-00081,WH-03,PRD-0089,137745.96,106.04,ชิ้น,2024-01-01,2024-01-06,2024-01-11,2024-04-17,1299
PO-00082,WH-03,PRD-0052,41976.48,26.04,ชิ้น,2024-11-12,2024-11-14,2024-11-28,2025-12-16,1612
PO-00083,WH-02,PRD-0085,41678.54,172.94,ชิ้น,2024-03-08,2024-03-13,2024-03-26,2025-09-02,241
PO-00084,WH-02,PRD-0045,24093.2,17.98,ชิ้น,2024-01-24,2024-01-26,2024-01-27,2025-12-23,1340
PO-00085,WH-02,PRD-0072,50651.14,29.69,ชิ้น,2023-12-02,2023-12-08,2023-12-13,2027-01-08,1706
PO-00086,WH-01,PRD-0099,151124.22,88.74,ชิ้น,2024-09-19,2024-09-22,2024-09-26,2025-07-22,1703
PO-00087,WH-01,PRD-0033,54481.2,33.2,ชิ้น,2023-12-02,2023-12-07,2023-12-12,2026-07-08,1641
PO-00088,WH-03,PRD-0031,53810.4,32.03,ชิ้น,2024-04-10,2024-04-13,2024-05-04,2025-11-30,1680
PO-00089,WH-01,PRD-0006,85626.45,48.79,ชิ้น,2025-04-04,2025-04-06,2025-04-07,2025-04-16,1755
PO-00090,WH-03,PRD-0001,104828.0,58.4,ชิ้น,2023-12-02,2023-12-07,2023-12-20,2026-09-12,1795
PO-00091,WH-01,PRD-0050,28876.5,178.25,ชิ้น,2025-01-01,2025-01-02,2025-01-03,2025-01-05,162
PO-00092,WH-03,PRD-0011,20866.05,46.89,ชิ้น,2024-11-08,2024-11-15,2024-11-16,2025-04-20,445
PO-00093,WH-01,PRD-0007,38576.88,47.16,ชิ้น,2024-09-12,2024-09-13,2024-09-23,2025-04-23,818
PO-00094,WH-03,PRD-0081,40876.59,205.41,ชิ้น,2024-10-26,2024-10-27,2024-11-04,2024-11-05,199
PO-00095,WH-01,PRD-0053,156552.72,86.16,ชิ้น,2024-03-11,2024-03-18,2024-04-06,2025-07-26,1817
PO-00096,WH-03,PRD-0057,5218.2,5.85,ชิ้น,2023-12-02,2023-12-03,2023-12-15,2026-08-25,892
PO-00097,WH-03,PRD-0029,27667.43,44.41,ชิ้น,2025-04-22,2025-04-26,2025-05-11,2025-07-22,623
PO-00098,WH-02,PRD-0077,34918.0,41.08,ชิ้น,2024-12-01,2024-12-05,2024-12-10,2025-12-01,850
PO-00099,WH-02,PRD-0093,93834.52,58.21,ชิ้น,2024-11-09,2024-11-11,2024-12-01,2025-10-13,1612
PO-00100,WH-02,PRD-0018,15529.61,174.49,ชิ้น,2023-12-25,2023-12-31,2024-01-16,2025-05-29,89
PO-00101,WH-03,PRD-0093,90584.23,52.03,ชิ้น,2024-06-15,2024-06-16,2024-06-22,2025-05-19,1741
PO-00102,WH-03,PRD-0073,164791.08,84.12,ชิ้น,2024-12-29,2025-01-05,2025-01-14,2025-12-13,1959
PO-00103,WH-02,PRD-0003,390864.48,198.61,ชิ้น,2025-05-31,2025-06-02,2025-06-03,2025-06-06,1968
PO-00104,WH-01,PRD-0025,12829.35,27.59,ชิ้น,2024-03-02,2024-03-04,2024-03-15,2024-05-11,465
PO-00105,WH-03,PRD-0046,84944.75,43.45,ชิ้น,2024-11-19,2024-11-21,2024-11-22,2024-11-25,1955
PO-00106,WH-03,PRD-0060,319627.84,164.08,ชิ้น,2023-12-07,2023-12-09,2023-12-15,2025-04-15,1948
PO-00107,WH-01,PRD-0087,47302.5,225.25,ชิ้น,2023-12-02,2023-12-03,2023-12-16,2026-05-18,210
PO-00108,WH-01,PRD-0015,74288.24,46.84,ชิ้น,2023-12-02,2023-12-09,2023-12-26,2028-06-27,1586
PO-00109,WH-02,PRD-0086,46718.34,145.54,ชิ้น,2023-12-02,2023-12-07,2023-12-26,2026-04-01,321
PO-00110,WH-02,PRD-0045,5578.56,18.72,ชิ้น,2023-12-30,2023-12-31,2024-01-18,2025-11-28,298
PO-00111,WH-02,PRD-0038,64560.84,109.24,ชิ้น,2024-12-07,2024-12-09,2024-12-28,2025-10-14,591
PO-00112,WH-01,PRD-0042,26411.32,78.14,ชิ้น,2024-09-28,2024-10-03,2024-10-05,2025-02-02,338
PO-00113,WH-02,PRD-0013,35771.64,58.26,ชิ้น,2024-01-25,2024-01-27,2024-02-11,2024-03-23,614
PO-00114,WH-03,PRD-0027,19737.44,35.12,ชิ้น,2023-12-27,2023-12-31,2024-01-18,2025-12-07,562
PO-00115,WH-01,PRD-0014,153686.28,80.76,ชิ้น,2024-02-03,2024-02-09,2024-02-26,2025-12-04,1903
PO-00116,WH-01,PRD-0022,42851.27,211.09,ชิ้น,2024-05-15,2024-05-16,2024-05-18,2024-05-19,203
PO-00117,WH-03,PRD-0076,65801.12,37.73,ชิ้น,2023-12-22,2023-12-24,2024-01-02,2025-12-21,1744
PO-00118,WH-02,PRD-0067,3436.57,8.57,ชิ้น,2024-11-14,2024-11-20,2024-12-06,2025-05-31,401
PO-00119,WH-03,PRD-0094,63269.24,48.97,ชิ้น,2024-07-07,2024-07-14,2024-07-22,2025-11-07,1292
PO-00120,WH-01,PRD-0070,110072.7,59.66,ชิ้น,2025-05-12,2025-05-14,2025-06-01,2025-11-18,1845
PO-00121,WH-02,PRD-0088,78765.4,88.9,ชิ้น,2024-01-29,2024-02-03,2024-02-18,2025-09-25,886
PO-00122,WH-01,PRD-0095,83788.08,79.12,ชิ้น,2024-09-28,2024-10-03,2024-10-24,2025-09-11,1059
