stock_movement_id,po_id,receive_date,transfer_date,store_id,warehouse_id,qty
SM-00001,PO-01871,2023-12-18,2023-12-23,STR-004,WH-03,35
SM-00002,PO-00907,2023-12-09,2023-12-13,STR-004,WH-01,69
SM-00003,PO-01136,2024-01-17,2024-01-19,STR-006,WH-02,22
SM-00004,PO-00741,2024-04-18,2024-04-21,STR-004,WH-03,35
SM-00005,PO-00733,2023-12-19,2023-12-23,STR-003,WH-02,74
SM-00006,PO-00089,2025-04-09,2025-04-12,STR-010,WH-01,58
SM-00007,PO-01879,2023-12-16,2023-12-18,STR-003,WH-02,68
SM-00008,PO-01421,2023-12-18,2023-12-19,STR-001,WH-02,112
SM-00009,PO-00198,2024-06-30,2024-07-02,STR-003,WH-02,93
SM-00010,PO-00393,2023-12-15,2023-12-16,STR-001,WH-03,103
SM-00011,PO-01461,2024-03-29,2024-04-02,STR-006,WH-02,23
SM-00012,PO-02408,2023-12-25,2023-12-26,STR-005,WH-03,79
SM-00013,PO-00623,2023-12-26,2023-12-29,STR-003,WH-01,97
SM-00014,PO-01611,2023-12-11,2023-12-12,STR-005,WH-03,161
SM-00015,PO-00641,2024-04-25,2024-04-26,STR-006,WH-02,43
SM-00016,PO-01314,2024-06-08,2024-06-09,STR-004,WH-03,134
SM-00017,PO-02118,2023-12-15,2023-12-16,STR-002,WH-01,73
SM-00018,PO-01415,2025-06-04,2025-06-04,STR-001,WH-03,196
SM-00019,PO-01271,2025-09-23,2025-09-24,STR-010,WH-03,167
SM-00020,PO-01927,2024-08-22,2024-08-26,STR-002,WH-01,90
SM-00021,PO-01467,2024-03-20,2024-03-24,STR-008,WH-01,120
SM-00022,PO-00945,2023-12-08,2023-12-10,STR-003,WH-03,81
SM-00023,PO-01678,2024-10-31,2024-11-04,STR-004,WH-03,40
SM-00024,PO-01682,2024-10-18,2024-10-23,STR-003,WH-01,178
SM-00025,PO-01494,2024-09-30,2024-10-03,STR-007,WH-02,43
SM-00026,PO-00038,2023-12-09,2023-12-13,STR-001,WH-03,28
SM-00027,PO-01281,2023-12-26,2023-12-28,STR-001,WH-02,24
SM-00028,PO-01288,2025-03-11,2025-03-15,STR-010,WH-03,138
SM-00029,PO-01469,2024-05-22,2024-05-26,STR-007,WH-01,127
SM-00030,PO-00317,2025-10-13,2025-10-15,STR-005,WH-02,187
SM-00031,PO-01731,2024-10-17,2024-10-17,STR-001,WH-01,200
SM-00032,PO-02429,2023-12-14,2023-12-15,STR-001,WH-02,30
SM-00033,PO-01166,2024-01-06,2024-01-07,STR-007,WH-02,22
SM-00034,PO-00887,2024-03-14,2024-03-18,STR-010,WH-01,141
SM-00035,PO-02149,2023-12-16,2023-12-17,STR-009,WH-02,147
SM-00036,PO-02433,2024-05-15,2024-05-18,STR-004,WH-01,110
