customer_id,recency,frequency,monetary,r_quartile,f_quartile,m_quartile,rfm_score,rfm_segment,promo_sensitivity,segment
CUS-00001,36,96,52853.94,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00002,80,82,38673.39,2,2,3,223,Need Attention,0.33333333333333337,occasional
CUS-00003,29,62,24823.24,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00004,48,101,47958.67,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00005,27,94,38388.6,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00006,35,148,65036.65,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00007,72,44,18749.03,2,1,1,211,At Risk,1.0,price_sensitive
CUS-00008,50,54,21221.170000000002,3,2,1,321,About to Sleep,1.0,price_sensitive
CUS-00009,82,48,20919.57,2,1,1,211,At Risk,1.0,price_sensitive
CUS-00010,67,54,19789.36,2,2,1,221,About to Sleep,1.0,price_sensitive
CUS-00011,107,139,62038.83,1,4,4,144,New Customers,0.0,loyal_full_price
CUS-00012,33,52,22719.2,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00013,56,102,38925.11,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00014,142,58,19609.79,1,2,1,121,At Risk,1.0,price_sensitive
CUS-00015,28,49,19411.79,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00016,28,99,42265.23,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00017,11,54,16273.81,4,2,1,421,Need Attention,1.0,price_sensitive
CUS-00018,22,215,106868.72,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00019,122,38,14741.119999999999,1,1,1,111,Lost,1.0,price_sensitive
CUS-00020,97,129,47023.68,1,3,3,133,New Customers,0.33333333333333337,loyal_full_price
CUS-00021,3,52,19779.31,4,2,1,421,Need Attention,1.0,price_sensitive
CUS-00022,26,92,34374.0,3,3,2,332,Potential Loyalists,0.6666666666666667,promo_lover
CUS-00023,37,96,31849.86,3,3,2,332,Potential Loyalists,0.6666666666666667,promo_lover
CUS-00024,8,238,97553.06999999999,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00025,11,90,39914.23,4,2,3,423,Loyal,0.33333333333333337,loyal_full_price
CUS-00026,222,40,14910.78,1,1,1,111,Lost,1.0,price_sensitive
CUS-00027,28,104,47878.52,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00028,3,57,28123.76,4,2,2,422,Potential Loyalists,0.6666666666666667,price_sensitive
CUS-00029,48,50,20328.55,3,2,1,321,About to Sleep,1.0,price_sensitive
CUS-00030,54,87,34898.77,2,2,2,222,Need Attention,0.6666666666666667,price_sensitive
CUS-00031,9,92,36997.97,4,3,2,432,Loyal,0.6666666666666667,promo_lover
CUS-00032,27,52,25394.32,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00033,53,47,19411.99,2,1,1,211,At Risk,1.0,price_sensitive
CUS-00034,10,133,66170.45,4,3,4,434,Champions,0.0,loyal_full_price
CUS-00035,40,80,32789.64,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00036,28,101,51457.42,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00037,38,130,51100.2,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00038,137,34,9537.01,1,1,1,111,Lost,1.0,price_sensitive
CUS-00039,16,91,48292.09,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00040,4,47,20955.74,4,1,1,411,Need Attention,1.0,price_sensitive
CUS-00041,182,88,41765.18,1,2,3,123,Need Attention,0.33333333333333337,occasional
CUS-00042,17,108,49138.79,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00043,28,101,42769.09,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00044,39,48,18529.46,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00045,50,103,45914.62,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00046,211,48,24014.7,1,1,2,112,Hibernating,0.6666666666666667,price_sensitive
CUS-00047,80,129,55026.23,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00048,12,48,21011.41,4,1,1,411,Need Attention,1.0,price_sensitive
CUS-00049,68,88,27920.46,2,2,2,222,Need Attention,0.6666666666666667,price_sensitive
CUS-00050,9,260,110254.65,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00051,18,99,43601.64,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00052,26,94,45569.159999999996,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00053,36,92,36133.34,3,3,2,332,Potential Loyalists,0.6666666666666667,promo_lover
CUS-00054,205,58,28972.399999999998,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00055,8,45,14349.37,4,1,1,411,Need Attention,1.0,price_sensitive
CUS-00056,84,96,46999.44,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00057,26,53,28072.45,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00058,24,151,58236.15,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00059,255,44,18215.39,1,1,1,111,Lost,1.0,price_sensitive
CUS-00060,1,224,100406.76,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00061,75,44,18374.12,2,1,1,211,At Risk,1.0,price_sensitive
CUS-00062,11,141,55232.83,4,4,3,443,Champions,0.33333333333333337,loyal_full_price
CUS-00063,94,109,49599.8,2,3,3,233,Need Attention,0.33333333333333337,loyal_full_price
CUS-00064,38,62,25420.38,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00065,7,156,61979.54,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00066,163,53,20876.4,1,2,1,121,At Risk,1.0,price_sensitive
CUS-00067,76,143,64858.11,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00068,53,144,53055.08,2,4,3,243,Potential Loyalists,0.33333333333333337,loyal_full_price
CUS-00069,51,112,49216.98,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00070,8,217,88790.11,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00071,26,225,95215.04,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00072,237,39,14441.57,1,1,1,111,Lost,1.0,price_sensitive
CUS-00073,97,100,38233.18,1,3,3,133,New Customers,0.33333333333333337,loyal_full_price
CUS-00074,8,148,74152.76,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00075,51,41,25045.3,3,1,2,312,Need Attention,0.6666666666666667,price_sensitive
CUS-00076,22,137,59128.729999999996,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00077,27,50,21485.53,3,2,1,321,About to Sleep,1.0,price_sensitive
CUS-00078,52,87,42315.42,2,2,3,223,Need Attention,0.33333333333333337,occasional
CUS-00079,28,169,72674.09,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00080,50,91,47960.61,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00081,135,54,19212.48,1,2,1,121,At Risk,1.0,price_sensitive
CUS-00082,23,249,111351.93,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00083,9,106,35866.57,4,3,2,432,Loyal,0.6666666666666667,promo_lover
CUS-00084,28,47,32307.59,3,1,2,312,Need Attention,0.6666666666666667,price_sensitive
CUS-00085,9,49,22650.04,4,1,2,412,Need Attention,0.6666666666666667,price_sensitive
CUS-00086,220,49,25593.91,1,1,2,112,Hibernating,0.6666666666666667,price_sensitive
CUS-00087,146,47,22337.35,1,1,2,112,Hibernating,0.6666666666666667,price_sensitive
CUS-00088,39,120,54762.76,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00089,82,144,68300.21,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00090,207,35,10637.0,1,1,1,111,Lost,1.0,price_sensitive
CUS-00091,34,61,28341.38,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00092,39,88,40783.87,3,2,3,323,Potential Loyalists,0.33333333333333337,occasional
CUS-00093,80,239,105128.41,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00094,39,151,60564.78,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00095,72,87,36523.3,2,2,2,222,Need Attention,0.6666666666666667,price_sensitive
CUS-00096,120,45,13910.04,1,1,1,111,Lost,1.0,price_sensitive
CUS-00097,157,49,19453.52,1,1,1,111,Lost,1.0,price_sensitive
CUS-00098,24,235,110787.03,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00099,2,148,67235.51,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00100,40,39,14119.55,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00101,52,142,55445.24,2,4,3,243,Potential Loyalists,0.33333333333333337,loyal_full_price
CUS-00102,50,49,22545.66,3,1,2,312,Need Attention,0.6666666666666667,price_sensitive
CUS-00103,1,243,117220.05,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00104,49,99,38469.3,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00105,11,241,105919.64,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00106,114,49,15719.32,1,1,1,111,Lost,1.0,price_sensitive
CUS-00107,50,150,60972.25,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00108,51,219,87867.65,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00109,40,41,17252.44,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00110,51,45,20936.88,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00111,205,44,15597.01,1,1,1,111,Lost,1.0,price_sensitive
CUS-00112,17,98,45837.57,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00113,9,57,29205.41,4,2,2,422,Potential Loyalists,0.6666666666666667,price_sensitive
CUS-00114,8,52,26307.41,4,2,2,422,Potential Loyalists,0.6666666666666667,price_sensitive
CUS-00115,51,93,39208.09,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00116,27,95,37120.21,3,3,2,332,Potential Loyalists,0.6666666666666667,promo_lover
CUS-00117,67,88,36157.02,2,2,2,222,Need Attention,0.6666666666666667,price_sensitive
CUS-00118,69,57,22368.52,2,2,2,222,Need Attention,0.6666666666666667,price_sensitive
CUS-00119,51,41,21819.23,3,1,2,312,Need Attention,0.6666666666666667,price_sensitive
CUS-00120,66,95,33558.26,2,3,2,232,Need Attention,0.6666666666666667,promo_lover
CUS-00121,50,51,23069.31,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00122,18,82,27792.49,4,2,2,422,Potential Loyalists,0.6666666666666667,price_sensitive
CUS-00123,2,51,20531.75,4,2,1,421,Need Attention,1.0,price_sensitive
CUS-00124,200,56,25135.1,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00125,12,227,105020.55,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00126,287,49,18390.55,1,1,1,111,Lost,1.0,price_sensitive
CUS-00127,9,91,42653.36,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00128,76,52,17541.89,2,2,1,221,About to Sleep,1.0,price_sensitive
CUS-00129,8,138,66204.62,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00130,51,38,13326.53,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00131,8,215,86855.39,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00132,39,105,46467.0,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00133,7,230,99801.08,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00134,108,89,31125.579999999998,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00135,70,139,63581.63,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00136,35,50,24073.07,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
CUS-00137,26,98,43917.07,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00138,119,56,23852.17,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00139,29,105,42500.76,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00140,3,219,96488.47,4,4,4,444,Champions,0.0,loyal_full_price
CUS-00141,22,123,50266.69,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00142,234,89,30494.31,1,2,2,122,At Risk,0.6666666666666667,price_sensitive
CUS-00143,27,152,59795.19,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00144,112,44,17325.09,1,1,1,111,Lost,1.0,price_sensitive
CUS-00145,26,138,69692.45,3,4,4,344,Loyal,0.0,loyal_full_price
CUS-00146,11,113,44294.12,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00147,17,56,24494.79,4,2,2,422,Potential Loyalists,0.6666666666666667,price_sensitive
CUS-00148,27,42,18674.74,3,1,1,311,Hibernating,1.0,price_sensitive
CUS-00149,55,165,71947.83,2,4,4,244,Potential Loyalists,0.0,loyal_full_price
CUS-00150,51,114,47775.19,3,3,3,333,Loyal,0.33333333333333337,loyal_full_price
CUS-00151,228,49,16532.170000000002,1,1,1,111,Lost,1.0,price_sensitive
CUS-00152,7,62,26355.74,4,2,2,422,Potential Loyalists,0.6666666666666667,price_sensitive
CUS-00153,7,100,40126.57,4,3,3,433,Loyal,0.33333333333333337,loyal_full_price
CUS-00154,26,52,27890.86,3,2,2,322,About to Sleep,0.6666666666666667,price_sensitive
